county,county_seat,population,land_area_sq_mi,pop_density_per_sq_mi,agriculture_pct,irrigated_crops_pct,dryland_crops_pct,pasture_grassland_pct,non_ag_pct,est_ag_sq_mi,est_irrigated_sq_mi,est_dryland_sq_mi,est_pasture_sq_mi,top_commodity,top_commodity_pct,second_commodity,second_commodity_pct,landuse_parts_sum_pct,data_quality_flag,source_url
Adams,Hastings,31205,563.27,55.4,90.0,67.0,13.0,11.0,10.0,506.9,377.4,73.2,62.0,Corn,50,Soybeans,27,91.0,,https://nebraskacounties.org/nebraska-counties/county/adams.html
Antelope,Neligh,6352,857.16,7.4,88.0,56.0,13.0,19.0,12.0,754.3,480.0,111.4,162.9,Corn,39,Soybeans,24,88.0,,https://nebraskacounties.org/nebraska-counties/county/antelope.html
Arthur,Arthur,396,715.15,0.6,99.0,2.0,0.0,96.0,1.0,708.0,14.3,0.0,686.5,Livestock (grassland),94,Corn,1,98.0,,https://nebraskacounties.org/nebraska-counties/county/arthur.html
Banner,Harrisburg,686,746.04,0.9,85.0,5.0,26.0,54.0,15.0,634.1,37.3,194.0,402.9,Livestock (grassland),67,Wheat,8,85.0,,https://nebraskacounties.org/nebraska-counties/county/banner.html
Blaine,Brewster,458,710.69,0.6,95.0,3.0,0.0,92.0,5.0,675.2,21.3,0.0,653.8,Livestock (grassland),92,Alfalfa,1,95.0,,https://nebraskacounties.org/nebraska-counties/county/blaine.html
Boone,Albion,5355,686.54,7.8,92.0,48.0,22.0,23.0,8.0,631.6,329.5,151.0,157.9,Corn,38,Soybeans,28,93.0,,https://nebraskacounties.org/nebraska-counties/county/boone.html
Box Butte,Alliance,10842,1075.36,10.1,87.0,22.0,27.0,39.0,13.0,935.6,236.6,290.3,419.4,Livestock (grassland),48,Corn,15,88.0,,https://nebraskacounties.org/nebraska-counties/county/box-butte.html
Boyd,Butte,1674,539.94,3.1,90.0,3.0,26.0,62.0,10.0,485.9,16.2,140.4,334.8,Livestock (grassland),60,Corn,12,91.0,,https://nebraskacounties.org/nebraska-counties/county/boyd.html
Brown,Ainsworth,2826,1211.36,2.3,92.0,9.0,0.0,83.0,8.0,1114.5,109.0,0.0,1005.4,Livestock (grassland),80,Corn,5,92.0,,https://nebraskacounties.org/nebraska-counties/county/brown.html
Buffalo,Kearney,51172,968.22,52.9,86.0,42.0,9.0,35.0,14.0,832.7,406.7,87.1,338.9,Corn,34,Soybeans,15,86.0,,https://nebraskacounties.org/nebraska-counties/county/buffalo.html
Burt,Tekamah,6678,491.59,13.6,83.0,18.0,60.0,6.0,17.0,408.0,88.5,295.0,29.5,Corn,42,Soybeans,39,84.0,,https://nebraskacounties.org/nebraska-counties/county/burt.html
Butler,David City,8507,584.89,14.5,86.0,36.0,39.0,11.0,14.0,503.0,210.6,228.1,64.3,Corn,41,Soybeans,33,86.0,,https://nebraskacounties.org/nebraska-counties/county/butler.html
Cass,Plattsmouth,27657,557.35,49.6,76.0,1.0,71.0,4.0,24.0,423.6,5.6,395.7,22.3,Corn,41,Soybeans,33,76.0,,https://nebraskacounties.org/nebraska-counties/county/cass.html
Cedar,Hartington,8373,740.24,11.3,88.0,31.0,43.0,14.0,12.0,651.4,229.5,318.3,103.6,Corn,41,Soybeans,27,88.0,,https://nebraskacounties.org/nebraska-counties/county/cedar.html
Chase,Imperial,3718,894.42,4.2,95.0,33.0,18.0,44.0,5.0,849.7,295.2,161.0,393.5,,,,,95.0,,https://nebraskacounties.org/nebraska-counties/county/chase.html
Cherry,Valentine,5561,5960.22,0.9,92.0,2.0,0.0,91.0,8.0,5483.4,119.2,0.0,5423.8,Livestock (grassland),89,Corn,1,93.0,,https://nebraskacounties.org/nebraska-counties/county/cherry.html
Cheyenne,Sidney,9528,1196.01,8.0,84.0,8.0,52.0,24.0,16.0,1004.6,95.7,621.9,287.0,Livestock (grassland),37,Wheat,18,84.0,,https://nebraskacounties.org/nebraska-counties/county/cheyenne.html
Clay,Clay Center,6170,572.29,10.8,82.0,62.0,13.0,6.0,18.0,469.3,354.8,74.4,34.3,Corn,48,Soybeans,27,81.0,,https://nebraskacounties.org/nebraska-counties/county/clay.html
Colfax,Schuyler,10934,411.65,26.6,88.0,30.0,49.0,9.0,12.0,362.3,123.5,201.7,37.0,Corn,42,Soybeans,33,88.0,,https://nebraskacounties.org/nebraska-counties/county/colfax.html
Cuming,West Point,8823,570.52,15.5,87.0,16.0,65.0,6.0,13.0,496.4,91.3,370.8,34.2,Corn,46,Soybeans,34,87.0,,https://nebraskacounties.org/nebraska-counties/county/cuming.html
Custer,Broken Bow,10500,2575.59,4.1,97.0,17.0,9.0,71.0,3.0,2498.3,437.9,231.8,1828.7,Livestock (grassland),69,Corn,15,97.0,,https://nebraskacounties.org/nebraska-counties/county/custer.html
Dakota,Dakota City,21687,264.28,82.1,78.0,10.0,57.0,11.0,22.0,206.1,26.4,150.6,29.1,Corn,38,Soybeans,34,78.0,,https://nebraskacounties.org/nebraska-counties/county/dakota.html
Dawes,Chadron,7858,1396.39,5.6,88.0,2.0,13.0,72.0,12.0,1228.8,27.9,181.5,1005.4,Livestock (grassland),72,Alfalfa,6,87.0,,https://nebraskacounties.org/nebraska-counties/county/dawes.html
Dawson,Lexington,24452,1013.6,24.1,90.0,45.0,4.0,41.0,10.0,912.2,456.1,40.5,415.6,Livestock (grassland),42,Corn,31,90.0,,https://nebraskacounties.org/nebraska-counties/county/dawson.html
Deuel,Chappell,1862,439.85,4.2,93.0,8.0,61.0,24.0,7.0,409.1,35.2,268.3,105.6,Corn,23,Wheat,19,93.0,,https://nebraskacounties.org/nebraska-counties/county/deuel.html
